k,base_phi,sl_phi,base_rho_mean,base_rho_p05,base_rho_p95,sl_rho_mean,sl_rho_p05,sl_rho_p95,base_Nk_gt,sl_Nk_gt,stable
0,0.00018660183662354743,0.000188715603908927,1.0,1.0,1.0,1.0,1.0,1.0,12691,12693,True
1,0.00019324837054208806,0.0001954935975945702,0.9998184476428433,0.9996587729475193,0.9999317359546728,0.9998448678519815,0.9996628001079041,1.0,12313,12315,True
2,0.0005210158766890972,0.0005390686485243299,1.3050817589504842,1.286010792860108,1.3287868669944143,1.3156794496070616,1.2928434376823217,1.338850000242029,3449,3517,True
3,0.001064093813985233,0.0011901438830664603,1.66336703273478,1.5786466444197258,1.7797409326424871,1.7889416130176015,1.6763483899821108,1.8991775769869075,1136,1256,True
4,0.0028057671827639878,0.002994281308231061,2.8629535374121273,2.3620689655172415,3.6052631578947367,2.8863614642037074,2.5301547914451143,3.3285714285714287,313,395,True
5,0.005884389061959155,0.005432476020711315,5.493419136419136,2.6153846153846154,11.333333333333334,4.009706961047707,2.505846153846154,5.818181818181818,108,154,True
6,0.017094017094017096,0.011594202898550725,4.7272727272727275,2.0,6.0,6.651567944250871,3.0,12.0,27,46,False
7,0.06060606060606061,0.03676470588235294,3.75,2.7,4.0,4.75,3.625,5.0,12,17,False
8,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,3,5,False
9,,0.0,,,,,,,0,2,False
10,,,,,,,,,0,1,False
11,,,,,,,,,0,1,False
12,,,,,,,,,0,0,False
