borough,mean_uplift,median_uplift,p90,n,sl_share
Barking and Dagenham,83.97639915985336,85.7875,87.8825,389,0.010282776349614395
Barnet,49.38286696043195,49.63,53.7505,1069,0.01683816651075772
Bexley,88.34722485441544,90.6025,93.4075,680,0.020588235294117647
Brent,41.65627915074572,40.348749999999995,51.630250000000004,610,0.011475409836065573
Bromley,66.55395647465636,65.72749999999999,75.39825,1222,0.019639934533551555
Croydon,56.28099944396639,56.0925,60.595,1066,0.05065666041275797
Ealing,42.673388466077,40.7425,54.3535,737,0.0407055630936228
Enfield,53.65137771253202,52.97,57.91875,726,0.011019283746556474
Greenwich,83.34749086368403,79.6525,93.275,705,0.011347517730496455
Harrow,52.68646773873009,52.4025,55.61425,454,0.019823788546255508
Havering,78.28851628718188,77.1725,86.215,707,0.0
Hillingdon,56.13384658402231,56.4925,58.97950000000001,763,0.03800786369593709
Hounslow,41.79341622650145,41.53,53.043,679,0.0
Kingston upon Thames,46.23741493036073,46.0675,49.9465,402,0.01990049751243781
Merton,43.87831747545837,43.23308270676692,47.918499999999995,469,0.0
Redbridge,73.62740848437853,72.6225,81.717,543,0.01841620626151013
Richmond upon Thames,39.44100725866562,39.9925,48.705,501,0.003992015968063872
Sutton,53.676808496020755,54.1925,56.317499999999995,456,0.021929824561403508
Waltham Forest,65.05219941911308,65.8725,67.4725,513,0.029239766081871343
